epoch,categorical_accuracy,covid-precision,covid-recall,false-negatives,false-positives,loss,normal-precision,normal-recall,pneumonia-precision,pneumonia-recall,val_categorical_accuracy,val_covid-precision,val_covid-recall,val_false-negatives,val_false-positives,val_loss,val_normal-precision,val_normal-recall,val_pneumonia-precision,val_pneumonia-recall
0,0.8518993258476257,0.9153470396995544,0.899865448474884,2463.0,2131.0,0.681370735168457,0.8396843671798706,0.8383935689926147,0.8258856534957886,0.7884320020675659,0.16826923191547394,0.11623412370681763,0.9813519716262817,3332.0,3208.0,1.507080316543579,1.0,0.0009832842042669654,0.9656862616539001,0.13230356574058533
1,0.8652873039245605,0.9320407509803772,0.914664626121521,2295.0,1880.0,0.42062386870384216,0.8376696705818176,0.8542587757110596,0.859590470790863,0.7900902628898621,0.8906882405281067,0.7724770903587341,0.9813519716262817,454.0,411.0,0.3150584399700165,0.8836363554000854,0.9557521939277649,0.9733676910400391,0.7609133720397949
2,0.8906540274620056,0.9505279660224915,0.9342687129974365,1830.0,1573.0,0.3358939588069916,0.8691059947013855,0.8853026032447815,0.8732280135154724,0.8287526369094849,0.8648785352706909,0.9815789461135864,0.8694638609886169,535.0,525.0,0.39398056268692017,0.9258241653442383,0.8284168839454651,0.7801377773284912,0.9126930832862854
3,0.9067965149879456,0.9637214541435242,0.9492795467376709,1550.0,1324.0,0.28256359696388245,0.8828420042991638,0.8977709412574768,0.8956906795501709,0.8550557494163513,0.9266194105148315,0.9653465151786804,0.9090909361839294,293.0,282.0,0.21231144666671753,0.9202830195426941,0.9591937065124512,0.9301340579986572,0.8851578235626221
4,0.9099993705749512,0.9639674425125122,0.9561875462532043,1490.0,1307.0,0.2717268168926239,0.88389652967453,0.899519681930542,0.8981686234474182,0.8579392433166504,0.9251012206077576,0.941724956035614,0.9439252614974976,305.0,280.0,0.22366784512996674,0.9422022700309753,0.9292383193969727,0.9067739844322205,0.9079919457435608
5,0.9439497590065002,0.9838056564331055,0.9805918335914612,895.0,833.0,0.1702912151813507,0.9189493656158447,0.9411990642547607,0.9370031952857971,0.9062079787254333,0.9321862459182739,0.9395349025726318,0.941724956035614,278.0,251.0,0.19976679980754852,0.9432938694953918,0.9405112862586975,0.9250170588493347,0.911349892616272
6,0.946448028087616,0.9845768213272095,0.9813604950904846,871.0,803.0,0.16006700694561005,0.9242252707481384,0.9396733641624451,0.9364138841629028,0.9115724563598633,0.9337044358253479,0.929061770439148,0.9485981464385986,273.0,252.0,0.19532130658626556,0.9448003768920898,0.942014753818512,0.9255972504615784,0.9106783270835876
7,0.9480494260787964,0.9842095375061035,0.9825067520141602,843.0,786.0,0.15553024411201477,0.922659158706665,0.9467717409133911,0.9420434236526489,0.9087415933609009,0.9347165822982788,0.9377880096435547,0.9531615972518921,267.0,244.0,0.19140034914016724,0.9484127163887024,0.9390962719917297,0.9235970377922058,0.91739422082901
8,0.9506757855415344,0.9849826693534851,0.9829010367393494,800.0,743.0,0.1494242250919342,0.9290833473205566,0.9471255540847778,0.9428628087043762,0.9162343740463257,0.9362348318099976,0.9487179517745972,0.9487179517745972,266.0,242.0,0.18610802292823792,0.9462524652481079,0.9434611797332764,0.9245411157608032,0.9133646488189697
9,0.9520850777626038,0.9857363104820251,0.9827055931091309,775.0,718.0,0.14275780320167542,0.9303594827651978,0.9498462677001953,0.9457747936248779,0.9185085296630859,0.9362348318099976,0.9484777450561523,0.9462617039680481,266.0,246.0,0.18521805107593536,0.9484637975692749,0.9405405521392822,0.9193006157875061,0.9180657863616943
10,0.9517647624015808,0.987058162689209,0.9823144674301147,782.0,734.0,0.13871842622756958,0.9312947988510132,0.9481168389320374,0.9404481053352356,0.9193083643913269,0.9367408752441406,0.9462617039680481,0.9484777450561523,265.0,241.0,0.18509502708911896,0.9503722190856934,0.9405697584152222,0.9205387234687805,0.9180657863616943
11,0.9538146257400513,0.9863488078117371,0.9857801795005798,742.0,687.0,0.13420279324054718,0.9336224794387817,0.9515663981437683,0.9477434754371643,0.920061469078064,0.9372469782829285,0.9443155527114868,0.9487179517745972,258.0,242.0,0.18257476389408112,0.949085533618927,0.9439527988433838,0.9224021434783936,0.9180657863616943
12,0.9548395276069641,0.9878729581832886,0.9863540530204773,728.0,678.0,0.12970349192619324,0.9328063130378723,0.9519785046577454,0.9489412307739258,0.9217608571052551,0.9367408752441406,0.9421296119689941,0.9509345889091492,256.0,244.0,0.18298843502998352,0.9504460096359253,0.9425061345100403,0.9201342463493347,0.9207521677017212
